,state,year,candidate,candidatevotes,Electoral_College_Votes,candidatevotespercent
202,North Carolina,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[2189316|2362631|189617]",15.0,"[46.17|49.83|4.0]"
203,North Carolina,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Green Other'|'Libertarian Jo Jorgensen'|'Other']","[2684292|2758773|12195|48678|20864]",15.0,"[48.59|49.93|0.22|0.88|0.38]"
204,North Dakota,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[95284|174852|9497|8634]",3.0,"[33.05|60.66|3.29|3.0]"
205,North Dakota,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[111052|196651|5130]",3.0,"[35.5|62.86|1.64]"
206,North Dakota,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[141278|168601|6742]",3.0,"[44.62|53.25|2.13]"
207,North Dakota,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[124966|188320|9646]",3.0,"[38.7|58.32|2.99]"
208,North Dakota,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[93758|216794|33808]",3.0,"[27.23|62.96|9.82]"
209,North Dakota,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[114902|235595|9393|1929]",3.0,"[31.76|65.11|2.6|0.53]"
210,Ohio,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[2186190|2351209|117857|50201]",18.0,"[46.46|49.97|2.5|1.07]"
211,Ohio,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[2739952|2858727|26952]",18.0,"[48.7|50.82|0.48]"
212,Ohio,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[2933388|2674491|90169]",18.0,"[51.48|46.94|1.58]"
213,Ohio,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[2827621|2661407|91794]",18.0,"[50.67|47.69|1.64]"
214,Ohio,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[2394164|2841005|261318]",18.0,"[43.56|51.69|4.75]"
215,Ohio,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[2679165|3154834|67569|20634]",18.0,"[45.24|53.27|1.14|0.35]"
216,Oklahoma,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[474276|744337|0|15616]",7.0,"[38.43|60.31|0.0|1.27]"
217,Oklahoma,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[503966|959792|0]",7.0,"[34.43|65.57|0.0]"
218,Oklahoma,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[502496|960165|0]",7.0,"[34.35|65.65|0.0]"
219,Oklahoma,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[443547|891325|0]",7.0,"[33.23|66.77|0.0]"
220,Oklahoma,2016,"['Democrat Hillary Clinton'|'Republican Donald Trump'|'Other']","[420375|949136|83481]",7.0,"[28.93|65.32|5.75]"
221,Oklahoma,2020,"['Democrat Joseph R Biden Jr'|'Republican Donald J Trump'|'Libertarian Jo Jorgensen'|'Other']","[503890|1020280|24731|11798]",7.0,"[32.29|65.37|1.58|0.76]"
222,Oregon,2000,"['Democrat Al Gore'|'Republican George W. Bush'|'Green Ralph Nader'|'Other']","[720342|713577|77357|22692]",7.0,"[46.96|46.52|5.04|1.48]"
223,Oregon,2004,"['Democrat John Kerry'|'Republican George W. Bush'|'Other']","[943163|866831|26788]",7.0,"[51.35|47.19|1.46]"
224,Oregon,2008,"['Democrat Barack Obama'|'Republican John Mccain'|'Other']","[1037291|738475|52098]",7.0,"[56.75|40.4|2.85]"
225,Oregon,2012,"['Democrat Barack Obama'|'Republican Mitt Romney'|'Other']","[970488|754175|64607]",7.0,"[54.24|42.15|3.61]"
